titulo_original,categoria_original,json_llm_bruto,json_limpo_python,nome_canonico_final
Radio Flash Aputure Trig 2.4g Mxii-n,CAMERA_FLASHES,"{""marca"": ""Aputure"", ""modelo"": ""Trig 2.4g Mxii-n"", ""tipo_produto"": ""rádio flash"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""2.4g""}","{""marca"": ""Aputure"", ""modelo"": ""trig 2.4g mxii-n"", ""tipo_produto"": ""rádio flash"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""2.4g""}",rádio flash | Aputure | trig 2.4g mxii-n | 2.4g
"Esquemas / Manual De Serviços Técnicos, Akai Gx-255",ANTIQUE_TAPE_RECORDERS,"{""marca"": ""Akai"", ""modelo"": ""Gx-255"", ""tipo_produto"": ""manual de serviços técnicos"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""esquemas""}","{""marca"": ""Akai"", ""modelo"": ""gx-255"", ""tipo_produto"": ""manual de serviços técnicos"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""esquemas""}",manual de serviços técnicos | Akai | gx-255 | esquemas
Liga Alumínio Mosquetão Cabaça Forma Mola Fivela Gancho Clip,CARABINERS,"{""marca"": null, ""modelo"": null, ""tipo_produto"": ""mosquetão"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""alumínio"", ""quantidade"": null, ""outros_atributos"": ""cabaça, forma mola, fivela, gancho, clip""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""mosquetão"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""alumínio"", ""quantidade"": null, ""outros_atributos"": ""cabaça, forma mola, fivela, gancho, clip""}","mosquetão | alumínio | cabaça, forma mola, fivela, gancho, clip"
"01 Banner Painel Gigante 2,0x1,0 M Bonecas Lol Surprise",PARTY_DECORATIVE_BACKDROPS,"{""marca"": ""Lol Surprise"", ""modelo"": null, ""tipo_produto"": ""banner painel"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""1 unidade"", ""outros_atributos"": ""gigante, 2,0x1,0 m""}","{""marca"": ""Lol Surprise"", ""modelo"": null, ""tipo_produto"": ""banner painel"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""1 unidade"", ""outros_atributos"": ""gigante, 2,0x1,0 m""}","banner painel | Lol Surprise | 1 unidade | gigante, 2,0x1,0 m"
Mamadeira Avent Philips 260ml Pétala Decorada Elefante Lilás,BABY_BOTTLES,"{""marca"": ""Philips Avent"", ""modelo"": ""Pétala"", ""tipo_produto"": ""mamadeira"", ""capacidade_volume"": ""260ml"", ""voltagem"": null, ""cor"": ""lilás"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""decorada, elefante""}","{""marca"": ""Philips Avent"", ""modelo"": ""pétala"", ""tipo_produto"": ""mamadeira"", ""capacidade_volume"": ""260ml"", ""voltagem"": null, ""cor"": ""lilás"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""decorada, elefante""}","mamadeira | Philips Avent | pétala | 260ml | lilás | decorada, elefante"
Tocha Sk300 2 Series Studio Flash 300w Godox 220 V,CAMERA_FLASHES,"{""marca"": ""Godox"", ""modelo"": ""Sk300 2 series"", ""tipo_produto"": ""flash de estúdio"", ""capacidade_volume"": null, ""voltagem"": ""220v"", ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""300w""}","{""marca"": ""Godox"", ""modelo"": ""sk300 2 series"", ""tipo_produto"": ""flash de estúdio"", ""capacidade_volume"": null, ""voltagem"": ""220v"", ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""300w""}",flash de estúdio | Godox | sk300 2 series | 220v | 300w
Sanduicheira Ams 370 Amvox 220v Preto Dg,SANDWICH_MAKERS,"{""marca"": ""Amvox"", ""modelo"": ""Ams 370"", ""tipo_produto"": ""sanduicheira"", ""capacidade_volume"": null, ""voltagem"": ""220v"", ""cor"": ""preto"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""dg""}","{""marca"": ""Amvox"", ""modelo"": ""ams 370"", ""tipo_produto"": ""sanduicheira"", ""capacidade_volume"": null, ""voltagem"": ""220v"", ""cor"": ""preto"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""dg""}",sanduicheira | Amvox | ams 370 | 220v | preto | dg
Corda 6mm Ouro Dourada Artesanato Trançada 25 Metros Top,HABERDASHERY_RIBBONS,"{""marca"": null, ""modelo"": null, ""tipo_produto"": ""corda"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""dourada"", ""material"": null, ""quantidade"": ""25 metros"", ""outros_atributos"": ""6mm, trançada, artesanato""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""corda"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""dourada"", ""material"": null, ""quantidade"": ""25 metros"", ""outros_atributos"": ""6mm, trançada, artesanato""}","corda | dourada | 25 metros | 6mm, trançada, artesanato"
Cooktop 4 Bocas Indução Electrolux Vitrocerâmica - Ic60,COOKTOPS,"{""marca"": ""Electrolux"", ""modelo"": ""Ic60"", ""tipo_produto"": ""cooktop"", ""capacidade_volume"": ""4 bocas"", ""voltagem"": null, ""cor"": null, ""material"": ""vitrocerâmica"", ""quantidade"": null, ""outros_atributos"": ""indução""}","{""marca"": ""Electrolux"", ""modelo"": ""ic60"", ""tipo_produto"": ""cooktop"", ""capacidade_volume"": ""4 bocas"", ""voltagem"": null, ""cor"": null, ""material"": ""vitrocerâmica"", ""quantidade"": null, ""outros_atributos"": ""indução""}",cooktop | Electrolux | ic60 | 4 bocas | vitrocerâmica | indução
Kit 10 Cuecas Boxer  Microfibra Originais + 12 Pares Meias,MALE_UNDERWEAR,"{""marca"": null, ""modelo"": null, ""tipo_produto"": ""cuecas e meias"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""microfibra"", ""quantidade"": ""kit 10 cuecas e 12 pares de meias"", ""outros_atributos"": ""originais""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""cuecas e meias"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""microfibra"", ""quantidade"": ""kit 10 cuecas e 12 pares de meias"", ""outros_atributos"": ""originais""}",cuecas e meias | microfibra | kit 10 cuecas e 12 pares de meias | originais
Calota Mercedes Sprinter Prata Sem Calota Central (4 Peças),AUTOMOTIVE_WHEEL_COVERS,"{""marca"": ""Mercedes"", ""modelo"": ""Sprinter"", ""tipo_produto"": ""calota"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""prata"", ""material"": null, ""quantidade"": ""4 peças"", ""outros_atributos"": ""sem calota central""}","{""marca"": ""Mercedes"", ""modelo"": ""sprinter"", ""tipo_produto"": ""calota"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""prata"", ""material"": null, ""quantidade"": ""4 peças"", ""outros_atributos"": ""sem calota central""}",calota | Mercedes | sprinter | prata | 4 peças | sem calota central
Pastilha Freio Dianteira Kia Opirus 3.5 Após 2003 - Osda1400,VEHICLE_BRAKE_PADS,"{""marca"": ""Osda"", ""modelo"": ""1400"", ""tipo_produto"": ""pastilha de freio"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""dianteira, compatível com kia opirus 3.5 após 2003""}","{""marca"": ""Osda"", ""modelo"": ""1400"", ""tipo_produto"": ""pastilha de freio"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""dianteira, compatível com kia opirus 3.5 após 2003""}","pastilha de freio | Osda | 1400 | dianteira, compatível com kia opirus 3.5 após 2003"
Kit Com 2 Barras De Leds P\tv Philco Ph32s61dg Novos.,TV_REPLACEMENT_BACKLIGHT_LED_STRIPS,"{""marca"": ""Philco"", ""modelo"": ""Ph32s61dg"", ""tipo_produto"": ""barras de leds"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""kit 2 peças"", ""outros_atributos"": ""novos""}","{""marca"": ""Philco"", ""modelo"": ""ph32s61dg"", ""tipo_produto"": ""barras de leds"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""kit 2 peças"", ""outros_atributos"": ""novos""}",barras de leds | Philco | ph32s61dg | kit 2 peças | novos
Camera Samsung S3 Neo I9300l Traseira Com Ci Ou Frontal Orig,CELLPHONE_REPLACEMENT_CAMERAS,"{""marca"": ""Samsung"", ""modelo"": ""S3 Neo I9300l"", ""tipo_produto"": ""câmera"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""traseira com ci ou frontal, original""}","{""marca"": ""Samsung"", ""modelo"": ""s3 neo i9300l"", ""tipo_produto"": ""câmera"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""traseira com ci ou frontal, original""}","câmera | Samsung | s3 neo i9300l | traseira com ci ou frontal, original"
Hyundai Vera Cruz Cano De Escape Peças Usadas,CAR_EXHAUSTS,"{""marca"": ""Hyundai"", ""modelo"": ""Vera Cruz"", ""tipo_produto"": ""cano de escape"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""peças usadas""}","{""marca"": ""Hyundai"", ""modelo"": ""vera cruz"", ""tipo_produto"": ""cano de escape"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""peças usadas""}",cano de escape | Hyundai | vera cruz | peças usadas
Parachoque Traseiro Veraneio,BUMPER_IMPACT_ABSORBERS,"{""marca"": null, ""modelo"": ""Veraneio"", ""tipo_produto"": ""parachoque traseiro"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": null}","{""marca"": null, ""modelo"": ""veraneio"", ""tipo_produto"": ""parachoque traseiro"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": null}",parachoque traseiro | veraneio
Fritadeira Fritador Elétrica 4 Litros 2 Cubas Super Promoção,DEEP_FRYERS,"{""marca"": null, ""modelo"": null, ""tipo_produto"": ""fritadeira elétrica"", ""capacidade_volume"": ""4000ml"", ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""2 cubas"", ""outros_atributos"": ""super promoção""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""fritadeira elétrica"", ""capacidade_volume"": ""4000ml"", ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""2 cubas"", ""outros_atributos"": ""super promoção""}",fritadeira elétrica | 4000ml | 2 cubas | super promoção
Fio Eletroplástico P/cerca Elétrica 500 Metros (03 Unidades),POLYWIRE_THREADS,"{""marca"": null, ""modelo"": null, ""tipo_produto"": ""fio eletroplástico"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""3 unidades"", ""outros_atributos"": ""500 metros, para cerca elétrica""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""fio eletroplástico"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""3 unidades"", ""outros_atributos"": ""500 metros, para cerca elétrica""}","fio eletroplástico | 3 unidades | 500 metros, para cerca elétrica"
Brilho Labial Sorvete Morango Pierre Pardon,LIP_GLOSSES,"{""marca"": ""Pierre Pardon"", ""modelo"": ""Sorvete"", ""tipo_produto"": ""brilho labial"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""sabor morango""}","{""marca"": ""Pierre Pardon"", ""modelo"": ""sorvete"", ""tipo_produto"": ""brilho labial"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""sabor morango""}",brilho labial | Pierre Pardon | sorvete | sabor morango
Cachepot Em Cerâmica C/ Desenho De Flores Modelo 23,PLANT_POTS_AND_PLANTERS,"{""marca"": null, ""modelo"": ""23"", ""tipo_produto"": ""cachepot"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""cerâmica"", ""quantidade"": null, ""outros_atributos"": ""com desenho de flores""}","{""marca"": null, ""modelo"": ""23"", ""tipo_produto"": ""cachepot"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""cerâmica"", ""quantidade"": null, ""outros_atributos"": ""com desenho de flores""}",cachepot | 23 | cerâmica | com desenho de flores
Porta Sabonete De Luxo ,SOAP_HOLDERS,"{""marca"": null, ""modelo"": null, ""tipo_produto"": ""porta sabonete"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""de luxo""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""porta sabonete"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""de luxo""}",porta sabonete | de luxo
Cinta Postural ,LUMBAR_AND_ABDOMINAL_BRACES,"{""marca"": null, ""modelo"": null, ""tipo_produto"": ""cinta postural"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": null}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""cinta postural"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": null}",cinta postural
Video Cassete Sharp 4 Cabeças Excelente,VIDEOCASSETTE_PLAYERS,"{""marca"": ""Sharp"", ""modelo"": null, ""tipo_produto"": ""video cassete"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""4 cabeças, excelente""}","{""marca"": ""Sharp"", ""modelo"": null, ""tipo_produto"": ""video cassete"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""4 cabeças, excelente""}","video cassete | Sharp | 4 cabeças, excelente"
Tinta Para Pincel De Quadro Branco 500 Ml + De 100 Recargas,PENS,"{""marca"": null, ""modelo"": null, ""tipo_produto"": ""tinta para pincel de quadro branco"", ""capacidade_volume"": ""500ml"", ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""de 100 recargas""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""tinta para pincel de quadro branco"", ""capacidade_volume"": ""500ml"", ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""de 100 recargas""}",tinta para pincel de quadro branco | 500ml | de 100 recargas
Bota Alpinestars S-mx S Preto/preto,BOOTS,"{""marca"": ""Alpinestars"", ""modelo"": ""S-mx S"", ""tipo_produto"": ""bota"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""preto"", ""material"": null, ""quantidade"": null, ""outros_atributos"": null}","{""marca"": ""Alpinestars"", ""modelo"": ""s-mx s"", ""tipo_produto"": ""bota"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""preto"", ""material"": null, ""quantidade"": null, ""outros_atributos"": null}",bota | Alpinestars | s-mx s | preto
Lote11 Pacotes Miçangas Contas Bolas Madeira P/ Bijuteria,HABERDASHERY_BEADS,"{""marca"": null, ""modelo"": null, ""tipo_produto"": ""miçangas"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""madeira"", ""quantidade"": ""11 pacotes"", ""outros_atributos"": ""contas, bolas, para bijuteria""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""miçangas"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""madeira"", ""quantidade"": ""11 pacotes"", ""outros_atributos"": ""contas, bolas, para bijuteria""}","miçangas | madeira | 11 pacotes | contas, bolas, para bijuteria"
03 Unidades De Vefic Base Escudo Top Coat  11ml,NAIL_POLISH,"{""marca"": ""Vefic"", ""modelo"": ""Base Escudo Top Coat"", ""tipo_produto"": ""esmalte"", ""capacidade_volume"": ""11ml"", ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""kit 3 unidades"", ""outros_atributos"": null}","{""marca"": ""Vefic"", ""modelo"": ""base escudo top coat"", ""tipo_produto"": ""esmalte"", ""capacidade_volume"": ""11ml"", ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""kit 3 unidades"", ""outros_atributos"": null}",esmalte | Vefic | base escudo top coat | 11ml | kit 3 unidades
Capa Toalha Bodyboard Camisinha Body Board Diamond Surfing,BODYBOARDS,"{""marca"": ""Diamond Surfing"", ""modelo"": null, ""tipo_produto"": ""capa toalha"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""para bodyboard""}","{""marca"": ""Diamond Surfing"", ""modelo"": null, ""tipo_produto"": ""capa toalha"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""para bodyboard""}",capa toalha | Diamond Surfing | para bodyboard
Bloqueador Prova D'agua Eletronico P/ Bmw Gs650 C L007,UPS_BATTERIES,"{""marca"": ""Bmw"", ""modelo"": ""Gs650 C L007"", ""tipo_produto"": ""bloqueador"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""prova d'agua, eletronico""}","{""marca"": ""Bmw"", ""modelo"": ""gs650 c l007"", ""tipo_produto"": ""bloqueador"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""prova d'agua, eletronico""}","bloqueador | Bmw | gs650 c l007 | prova d'agua, eletronico"
Calça Skinny Jeans Masculina Marca Importada,PANTS,"{""marca"": null, ""modelo"": ""skinny"", ""tipo_produto"": ""calça"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""jeans"", ""quantidade"": null, ""outros_atributos"": ""masculina, marca importada""}","{""marca"": null, ""modelo"": ""skinny"", ""tipo_produto"": ""calça"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""jeans"", ""quantidade"": null, ""outros_atributos"": ""masculina, marca importada""}","calça | skinny | jeans | masculina, marca importada"
Cabide Redondo Giratório - Caixa Com 50 Unidades Acrílic,CLOTHES_HANGERS,"{""marca"": null, ""modelo"": ""redondo giratório"", ""tipo_produto"": ""cabide"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""acrílico"", ""quantidade"": ""50 unidades"", ""outros_atributos"": null}","{""marca"": null, ""modelo"": ""redondo giratório"", ""tipo_produto"": ""cabide"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""acrílico"", ""quantidade"": ""50 unidades"", ""outros_atributos"": null}",cabide | redondo giratório | acrílico | 50 unidades
Chave De Ignição Contato Nylon Yamaha Ybr Xtz 125,MOTORCYCLE_IGNITION_SWITCHES,"{""marca"": ""Yamaha"", ""modelo"": ""Ybr Xtz 125"", ""tipo_produto"": ""chave de ignição"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""nylon"", ""quantidade"": null, ""outros_atributos"": ""contato""}","{""marca"": ""Yamaha"", ""modelo"": ""ybr xtz 125"", ""tipo_produto"": ""chave de ignição"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""nylon"", ""quantidade"": null, ""outros_atributos"": ""contato""}",chave de ignição | Yamaha | ybr xtz 125 | nylon | contato
Tampa Motor Honda Civic 2014 Original Usado,AUTOMOTIVE_ENGINE_VALVE_COVERS,"{""marca"": ""Honda"", ""modelo"": ""Civic 2014"", ""tipo_produto"": ""tampa motor"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""original, usado""}","{""marca"": ""Honda"", ""modelo"": ""civic 2014"", ""tipo_produto"": ""tampa motor"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""original, usado""}","tampa motor | Honda | civic 2014 | original, usado"
"Porta Joias , Oculos, Relogios  Dallas Chave E Veludo.",JEWELRY_BOXES,"{""marca"": null, ""modelo"": ""Dallas"", ""tipo_produto"": ""porta joias"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""veludo"", ""quantidade"": null, ""outros_atributos"": ""com chave, para óculos e relógios""}","{""marca"": null, ""modelo"": ""dallas"", ""tipo_produto"": ""porta joias"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""veludo"", ""quantidade"": null, ""outros_atributos"": ""com chave, para óculos e relógios""}","porta joias | dallas | veludo | com chave, para óculos e relógios"
Cortador Biscoito Bola Futebol Esporte Biscuit Fondant ,COOKIES_CUTTERS,"{""marca"": null, ""modelo"": null, ""tipo_produto"": ""cortador de biscoito"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""bola futebol, esporte, biscuit, fondant""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""cortador de biscoito"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""bola futebol, esporte, biscuit, fondant""}","cortador de biscoito | bola futebol, esporte, biscuit, fondant"
Kit 2 Tapete Pvc + 1 Bola 65 Cm + 1 Anel + 1 Roda Abdominal,EXERCISE_MATS,"{""marca"": null, ""modelo"": null, ""tipo_produto"": ""kit de acessórios fitness"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""pvc"", ""quantidade"": ""kit 5 peças"", ""outros_atributos"": ""2 tapetes, 1 bola 65cm, 1 anel, 1 roda abdominal""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""kit de acessórios fitness"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""pvc"", ""quantidade"": ""kit 5 peças"", ""outros_atributos"": ""2 tapetes, 1 bola 65cm, 1 anel, 1 roda abdominal""}","kit de acessórios fitness | pvc | kit 5 peças | 2 tapetes, 1 bola 65cm, 1 anel, 1 roda abdominal"
Associação Atlética Batel Pr Papel De Arroz Para Bolo A4,CARDS_AND_INVITATIONS,"{""marca"": null, ""modelo"": ""Associação Atlética Batel"", ""tipo_produto"": ""papel de arroz para bolo"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""tamanho a4""}","{""marca"": null, ""modelo"": ""associação atlética batel"", ""tipo_produto"": ""papel de arroz para bolo"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""tamanho a4""}",papel de arroz para bolo | associação atlética batel | tamanho a4
Mini Filmadoras Espia Aparelhos Espioes Objetos Calculadora,CALCULATORS,"{""marca"": null, ""modelo"": null, ""tipo_produto"": ""filmadora espia"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""formato calculadora""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""filmadora espia"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""formato calculadora""}",filmadora espia | formato calculadora
Friso Jac J3 Refletivo Adesivo Roda Filete Cores,MARKING_AND_WARNING_TAPES,"{""marca"": ""Jac"", ""modelo"": ""J3"", ""tipo_produto"": ""friso adesivo"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""refletivo, para roda, filete""}","{""marca"": ""Jac"", ""modelo"": ""j3"", ""tipo_produto"": ""friso adesivo"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""refletivo, para roda, filete""}","friso adesivo | Jac | j3 | refletivo, para roda, filete"
"Batedeira Philips Walita Ri7200/41,5 Vel,1 Tig,vermelha-110v",MIXERS,"{""marca"": ""Philips Walita"", ""modelo"": ""Ri7200/41"", ""tipo_produto"": ""batedeira"", ""capacidade_volume"": null, ""voltagem"": ""110v"", ""cor"": ""vermelha"", ""material"": null, ""quantidade"": ""1 tigela"", ""outros_atributos"": ""5 velocidades""}","{""marca"": ""Philips Walita"", ""modelo"": ""ri7200/41"", ""tipo_produto"": ""batedeira"", ""capacidade_volume"": null, ""voltagem"": ""110v"", ""cor"": ""vermelha"", ""material"": null, ""quantidade"": ""1 tigela"", ""outros_atributos"": ""5 velocidades""}",batedeira | Philips Walita | ri7200/41 | 110v | vermelha | 1 tigela | 5 velocidades
Eixo Traseiro De Audi A1 Ano 2013,REAR_WHEEL_HUBS_BEARING_ASSEMBLY,"{""marca"": ""Audi"", ""modelo"": ""A1"", ""tipo_produto"": ""eixo traseiro"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""ano 2013""}","{""marca"": ""Audi"", ""modelo"": ""a1"", ""tipo_produto"": ""eixo traseiro"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""ano 2013""}",eixo traseiro | Audi | a1 | ano 2013
Mesa Completa Cg 125 Titan 1998 (lote: 393),MOTORCYCLE_HANDLEBAR_YOKES,"{""marca"": ""Honda"", ""modelo"": ""Cg 125 Titan"", ""tipo_produto"": ""mesa"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""ano 1998, lote 393""}","{""marca"": ""Honda"", ""modelo"": ""cg 125 titan"", ""tipo_produto"": ""mesa"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""ano 1998, lote 393""}","mesa | Honda | cg 125 titan | ano 1998, lote 393"
Camisa Nba - Golden State Warrios,BASKETBALL_JERSEYS,"{""marca"": ""Nba"", ""modelo"": ""Golden State Warrios"", ""tipo_produto"": ""camisa"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": null}","{""marca"": ""Nba"", ""modelo"": ""golden state warrios"", ""tipo_produto"": ""camisa"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": null}",camisa | Nba | golden state warrios
60 Placas 12m² 30mm Espuma Isolamento Acústico Anti Chama,ACOUSTIC_PANELS,"{""marca"": null, ""modelo"": null, ""tipo_produto"": ""placas de isolamento acústico"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""espuma"", ""quantidade"": ""60 unidades"", ""outros_atributos"": ""12m², 30mm, anti chama""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""placas de isolamento acústico"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""espuma"", ""quantidade"": ""60 unidades"", ""outros_atributos"": ""12m², 30mm, anti chama""}","placas de isolamento acústico | espuma | 60 unidades | 12m², 30mm, anti chama"
