titulo_original,titulo_pre_norm,categoria_original,json_llm_bruto,json_limpo_python,nome_canonico_final
Braço Tirante Pivo Diant Esq Bmw 320i X1 2011  5028 R3,Braço Tirante Pivo Diant Esq Bmw 320i X1 2011 5028 R3,IDLER_ARMS,"{""idx"": 78, ""marca"": ""Bmw"", ""modelo"": ""320i x1"", ""tipo_produto"": ""braço tirante"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""pivo dianteiro esquerdo, 2011, 5028 r3""}","{""marca"": ""Bmw"", ""modelo"": ""320i x1"", ""tipo_produto"": ""braço tirante"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""pivo dianteiro esquerdo, 2011, 5028 r3""}","braço tirante | Bmw | 320i x1 | pivo dianteiro esquerdo, 2011, 5028 r3"
Veda Porta Borracha Pvc Branco C/ Fita 2-1mt+4-80cm,Veda Porta Borracha Pvc Branco C/ Fita 2-1mt+4-80cm,TABLE_TENNIS_RACKETS,"{""idx"": 79, ""marca"": null, ""modelo"": null, ""tipo_produto"": ""veda porta"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""branco"", ""material"": ""pvc"", ""quantidade"": ""kit"", ""outros_atributos"": ""com fita, 2 unidades de 1mt, 4 unidades de 80cm""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""veda porta"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""branco"", ""material"": ""pvc"", ""quantidade"": ""kit"", ""outros_atributos"": ""com fita, 2 unidades de 1mt, 4 unidades de 80cm""}","veda porta | branco | pvc | kit | com fita, 2 unidades de 1mt, 4 unidades de 80cm"
Conjunto Infantil Futebol Milan +bola De Futebol+caneleira ,Conjunto Infantil Futebol Milan +bola De Futebol+caneleira,FOOTBALL_KITS,"{""idx"": 80, ""marca"": null, ""modelo"": null, ""tipo_produto"": ""conjunto infantil de futebol"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""kit 3 peças"", ""outros_atributos"": ""milan, bola de futebol, caneleira""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""conjunto infantil de futebol"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""kit 3 peças"", ""outros_atributos"": ""milan, bola de futebol, caneleira""}","conjunto infantil de futebol | kit 3 peças | milan, bola de futebol, caneleira"
Boné Blck Panda Respingos Preto,Boné Blck Panda Respingos Preto,FOOTBALL_CAPS,"{""idx"": 81, ""marca"": ""Blck Panda"", ""modelo"": ""respingos"", ""tipo_produto"": ""boné"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""preto"", ""material"": null, ""quantidade"": null, ""outros_atributos"": null}","{""marca"": ""Blck Panda"", ""modelo"": ""respingos"", ""tipo_produto"": ""boné"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""preto"", ""material"": null, ""quantidade"": null, ""outros_atributos"": null}",boné | Blck Panda | respingos | preto
Dobradiça Porta Diant Tras Sup Inf Esq Amarok Após 10 2pts,Dobradiça Porta Diant Tras Sup Inf Esq Amarok Após 10 2pts,CAR_DOOR_HINGES,"{""idx"": 82, ""marca"": null, ""modelo"": null, ""tipo_produto"": ""dobradiça de porta"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""dianteira, traseira, superior, inferior, esquerda, amarok, após 2010, 2 portas""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""dobradiça de porta"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""dianteira, traseira, superior, inferior, esquerda, amarok, após 2010, 2 portas""}","dobradiça de porta | dianteira, traseira, superior, inferior, esquerda, amarok, após 2010, 2 portas"
Mac Mini 2014 Upgrade Para Ssd 480gb 8gb Ram,Mac Mini 2014 Upgrade Para Ssd 480gb 8gb Ram,MINI_PCS,"{""idx"": 83, ""marca"": ""Apple"", ""modelo"": ""mac mini 2014"", ""tipo_produto"": ""mini pc"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""ssd 480gb, 8gb ram""}","{""marca"": ""Apple"", ""modelo"": ""mac mini 2014"", ""tipo_produto"": ""mini pc"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""ssd 480gb, 8gb ram""}","mini pc | Apple | mac mini 2014 | ssd 480gb, 8gb ram"
Skimmer Hang On Boyu Dg-1524 P/ 350 110v Litros- ,Skimmer Hang On Boyu Dg-1524 P/ 350 110v Litros-,AQUARIUM_SKIMMERS,"{""idx"": 84, ""marca"": ""Boyu"", ""modelo"": ""dg-1524"", ""tipo_produto"": ""skimmer"", ""capacidade_volume"": ""350000ml"", ""voltagem"": ""110v"", ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""hang on""}","{""marca"": ""Boyu"", ""modelo"": ""dg-1524"", ""tipo_produto"": ""skimmer"", ""capacidade_volume"": ""350000ml"", ""voltagem"": ""110v"", ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""hang on""}",skimmer | Boyu | dg-1524 | 350000ml | 110v | hang on
Vinho Argentino Maldito By Vicentin Kit 2 Und.,Vinho Argentino Maldito By Vicentin Kit 2 Und.,WINES,"{""idx"": 85, ""marca"": ""Vicentin"", ""modelo"": ""Maldito"", ""tipo_produto"": ""vinho"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""kit 2 unidades"", ""outros_atributos"": ""argentino""}","{""marca"": ""Vicentin"", ""modelo"": ""maldito"", ""tipo_produto"": ""vinho"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""kit 2 unidades"", ""outros_atributos"": ""argentino""}",vinho | Vicentin | maldito | kit 2 unidades | argentino
Radio Flash Aputure Trig 2.4g Mxii-n,Radio Flash Aputure Trig 2.4g Mxii-n,CAMERA_FLASHES,"{""idx"": 86, ""marca"": ""Aputure"", ""modelo"": ""Trig 2.4g Mxii-n"", ""tipo_produto"": ""radio flash"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": null}","{""marca"": ""Aputure"", ""modelo"": ""trig 2.4g mxii-n"", ""tipo_produto"": ""radio flash"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": null}",radio flash | Aputure | trig 2.4g mxii-n
"Esquemas / Manual De Serviços Técnicos, Akai Gx-255","Esquemas / Manual De Serviços Técnicos, Akai Gx-255",ANTIQUE_TAPE_RECORDERS,"{""idx"": 87, ""marca"": ""Akai"", ""modelo"": ""Gx-255"", ""tipo_produto"": ""manual de serviço"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""esquemas técnicos""}","{""marca"": ""Akai"", ""modelo"": ""gx-255"", ""tipo_produto"": ""manual de serviço"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""esquemas técnicos""}",manual de serviço | Akai | gx-255 | esquemas técnicos
Liga Alumínio Mosquetão Cabaça Forma Mola Fivela Gancho Clip,Liga Alumínio Mosquetão Cabaça Forma Mola Fivela Gancho Clip,CARABINERS,"{""idx"": 88, ""marca"": null, ""modelo"": null, ""tipo_produto"": ""mosquetão"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""alumínio"", ""quantidade"": null, ""outros_atributos"": ""cabaça, mola, fivela, gancho, clip""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""mosquetão"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""alumínio"", ""quantidade"": null, ""outros_atributos"": ""cabaça, mola, fivela, gancho, clip""}","mosquetão | alumínio | cabaça, mola, fivela, gancho, clip"
"01 Banner Painel Gigante 2,0x1,0 M Bonecas Lol Surprise","01 Banner Painel Gigante 2,0x1,0 M Bonecas Lol Surprise",PARTY_DECORATIVE_BACKDROPS,"{""idx"": 89, ""marca"": ""Lol Surprise"", ""modelo"": null, ""tipo_produto"": ""banner painel"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""1 unidade"", ""outros_atributos"": ""gigante, 2,0x1,0 m""}","{""marca"": ""Lol Surprise"", ""modelo"": null, ""tipo_produto"": ""banner painel"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""1 unidade"", ""outros_atributos"": ""gigante, 2,0x1,0 m""}","banner painel | Lol Surprise | 1 unidade | gigante, 2,0x1,0 m"
Mamadeira Avent Philips 260ml Pétala Decorada Elefante Lilás,Mamadeira Avent Philips 260ml Pétala Decorada Elefante Lilás,BABY_BOTTLES,"{""idx"": 90, ""marca"": ""Philips Avent"", ""modelo"": ""pétala"", ""tipo_produto"": ""mamadeira"", ""capacidade_volume"": ""260ml"", ""voltagem"": null, ""cor"": ""lilás"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""decorada elefante""}","{""marca"": ""Philips Avent"", ""modelo"": ""pétala"", ""tipo_produto"": ""mamadeira"", ""capacidade_volume"": ""260ml"", ""voltagem"": null, ""cor"": ""lilás"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""decorada elefante""}",mamadeira | Philips Avent | pétala | 260ml | lilás | decorada elefante
Tocha Sk300 2 Series Studio Flash 300w Godox 220 V,Tocha Sk300 2 Series Studio Flash 300w Godox 220 V,CAMERA_FLASHES,"{""idx"": 91, ""marca"": ""Godox"", ""modelo"": ""sk300 2 series"", ""tipo_produto"": ""flash de estúdio"", ""capacidade_volume"": ""300w"", ""voltagem"": ""220v"", ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""tocha""}","{""marca"": ""Godox"", ""modelo"": ""sk300 2 series"", ""tipo_produto"": ""flash de estúdio"", ""capacidade_volume"": ""300w"", ""voltagem"": ""220v"", ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""tocha""}",flash de estúdio | Godox | sk300 2 series | 300w | 220v | tocha
Sanduicheira Ams 370 Amvox 220v Preto Dg,Sanduicheira Ams 370 Amvox 220v Preto Dg,SANDWICH_MAKERS,"{""idx"": 92, ""marca"": ""Amvox"", ""modelo"": ""ams 370"", ""tipo_produto"": ""sanduicheira"", ""capacidade_volume"": null, ""voltagem"": ""220v"", ""cor"": ""preto"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""dg""}","{""marca"": ""Amvox"", ""modelo"": ""ams 370"", ""tipo_produto"": ""sanduicheira"", ""capacidade_volume"": null, ""voltagem"": ""220v"", ""cor"": ""preto"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""dg""}",sanduicheira | Amvox | ams 370 | 220v | preto | dg
Corda 6mm Ouro Dourada Artesanato Trançada 25 Metros Top,Corda 6mm Ouro Dourada Artesanato Trançada 25 Metros Top,HABERDASHERY_RIBBONS,"{""idx"": 93, ""marca"": null, ""modelo"": null, ""tipo_produto"": ""corda"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""dourada"", ""material"": null, ""quantidade"": ""25 metros"", ""outros_atributos"": ""6mm, trançada, artesanato""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""corda"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""dourada"", ""material"": null, ""quantidade"": ""25 metros"", ""outros_atributos"": ""6mm, trançada, artesanato""}","corda | dourada | 25 metros | 6mm, trançada, artesanato"
Cooktop 4 Bocas Indução Electrolux Vitrocerâmica - Ic60,Cooktop 4 Bocas Indução Electrolux Vitrocerâmica - Ic60,COOKTOPS,"{""idx"": 94, ""marca"": ""Electrolux"", ""modelo"": ""ic60"", ""tipo_produto"": ""cooktop"", ""capacidade_volume"": ""4 bocas"", ""voltagem"": null, ""cor"": ""preto"", ""material"": ""vitrocerâmica"", ""quantidade"": null, ""outros_atributos"": ""indução""}","{""marca"": ""Electrolux"", ""modelo"": ""ic60"", ""tipo_produto"": ""cooktop"", ""capacidade_volume"": ""4 bocas"", ""voltagem"": null, ""cor"": ""preto"", ""material"": ""vitrocerâmica"", ""quantidade"": null, ""outros_atributos"": ""indução""}",cooktop | Electrolux | ic60 | 4 bocas | preto | vitrocerâmica | indução
Kit 10 Cuecas Boxer  Microfibra Originais + 12 Pares Meias,Kit 10 Cuecas Boxer Microfibra Originais + 12 Pares Meias,MALE_UNDERWEAR,"{""idx"": 95, ""marca"": null, ""modelo"": null, ""tipo_produto"": ""cueca boxer"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""microfibra"", ""quantidade"": ""kit 10 cuecas e 12 pares de meias"", ""outros_atributos"": ""originais""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""cueca boxer"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""microfibra"", ""quantidade"": ""kit 10 cuecas e 12 pares de meias"", ""outros_atributos"": ""originais""}",cueca boxer | microfibra | kit 10 cuecas e 12 pares de meias | originais
Calota Mercedes Sprinter Prata Sem Calota Central (4 Peças),Calota Mercedes Sprinter Prata Sem Calota Central (4 Peças),AUTOMOTIVE_WHEEL_COVERS,"{""idx"": 96, ""marca"": ""Mercedes"", ""modelo"": ""Sprinter"", ""tipo_produto"": ""calota"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""prata"", ""material"": null, ""quantidade"": ""4 peças"", ""outros_atributos"": ""sem calota central""}","{""marca"": ""Mercedes"", ""modelo"": ""sprinter"", ""tipo_produto"": ""calota"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""prata"", ""material"": null, ""quantidade"": ""4 peças"", ""outros_atributos"": ""sem calota central""}",calota | Mercedes | sprinter | prata | 4 peças | sem calota central
Pastilha Freio Dianteira Kia Opirus 3.5 Após 2003 - Osda1400,Pastilha Freio Dianteira Kia Opirus 3.5 Após 2003 - Osda1400,VEHICLE_BRAKE_PADS,"{""idx"": 97, ""marca"": ""Kia"", ""modelo"": ""Opirus 3.5"", ""tipo_produto"": ""pastilha de freio"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""dianteira, após 2003, osda1400""}","{""marca"": ""Kia"", ""modelo"": ""opirus 3.5"", ""tipo_produto"": ""pastilha de freio"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""dianteira, após 2003, osda1400""}","pastilha de freio | Kia | opirus 3.5 | dianteira, após 2003, osda1400"
Kit Com 2 Barras De Leds P\tv Philco Ph32s61dg Novos.,Kit Com 2 Barras De Leds P\tv Philco Ph32s61dg Novos.,TV_REPLACEMENT_BACKLIGHT_LED_STRIPS,"{""idx"": 98, ""marca"": ""Philco"", ""modelo"": ""Ph32s61dg"", ""tipo_produto"": ""barra de led"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""kit 2 barras"", ""outros_atributos"": ""novos""}","{""marca"": ""Philco"", ""modelo"": ""ph32s61dg"", ""tipo_produto"": ""barra de led"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""kit 2 barras"", ""outros_atributos"": ""novos""}",barra de led | Philco | ph32s61dg | kit 2 barras | novos
Camera Samsung S3 Neo I9300l Traseira Com Ci Ou Frontal Orig,Camera Samsung S3 Neo I9300000ml Traseira Com Ci Ou Frontal Orig,CELLPHONE_REPLACEMENT_CAMERAS,"{""idx"": 99, ""marca"": ""Samsung"", ""modelo"": ""S3 Neo I9300000ml"", ""tipo_produto"": ""câmera de celular"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""traseira com ci ou frontal, originais""}","{""marca"": ""Samsung"", ""modelo"": ""s3 neo i9300000ml"", ""tipo_produto"": ""câmera de celular"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""traseira com ci ou frontal, originais""}","câmera de celular | Samsung | s3 neo i9300000ml | traseira com ci ou frontal, originais"
Hyundai Vera Cruz Cano De Escape Peças Usadas,Hyundai Vera Cruz Cano De Escape Peças Usadas,CAR_EXHAUSTS,"{""idx"": 100, ""marca"": ""Hyundai"", ""modelo"": ""Vera Cruz"", ""tipo_produto"": ""cano de escape"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""peças usadas""}","{""marca"": ""Hyundai"", ""modelo"": ""vera cruz"", ""tipo_produto"": ""cano de escape"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""peças usadas""}",cano de escape | Hyundai | vera cruz | peças usadas
Parachoque Traseiro Veraneio,Parachoque Traseiro Veraneio,BUMPER_IMPACT_ABSORBERS,"{""idx"": 101, ""marca"": null, ""modelo"": ""Veraneio"", ""tipo_produto"": ""parachoque traseiro"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": null}","{""marca"": null, ""modelo"": ""veraneio"", ""tipo_produto"": ""parachoque traseiro"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": null}",parachoque traseiro | veraneio
Fritadeira Fritador Elétrica 4 Litros 2 Cubas Super Promoção,Fritadeira Fritador Elétrica 4000ml 2 Cubas Super Promoção,DEEP_FRYERS,"{""idx"": 102, ""marca"": null, ""modelo"": null, ""tipo_produto"": ""fritadeira elétrica"", ""capacidade_volume"": ""4000ml"", ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""2 cubas"", ""outros_atributos"": ""super promoção""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""fritadeira elétrica"", ""capacidade_volume"": ""4000ml"", ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""2 cubas"", ""outros_atributos"": ""super promoção""}",fritadeira elétrica | 4000ml | 2 cubas | super promoção
Fio Eletroplástico P/cerca Elétrica 500 Metros (03 Unidades),Fio Eletroplástico P/cerca Elétrica 500 Metros (03 Unidades),POLYWIRE_THREADS,"{""idx"": 103, ""marca"": null, ""modelo"": null, ""tipo_produto"": ""fio eletroplástico"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""eletroplástico"", ""quantidade"": ""kit 3 unidades"", ""outros_atributos"": ""500 metros""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""fio eletroplástico"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""eletroplástico"", ""quantidade"": ""kit 3 unidades"", ""outros_atributos"": ""500 metros""}",fio eletroplástico | eletroplástico | kit 3 unidades | 500 metros
Brilho Labial Sorvete Morango Pierre Pardon,Brilho Labial Sorvete Morango Pierre Pardon,LIP_GLOSSES,"{""idx"": 104, ""marca"": ""Pierre Pardon"", ""modelo"": ""sorvete"", ""tipo_produto"": ""brilho labial"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""morango"", ""material"": null, ""quantidade"": null, ""outros_atributos"": null}","{""marca"": ""Pierre Pardon"", ""modelo"": ""sorvete"", ""tipo_produto"": ""brilho labial"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""morango"", ""material"": null, ""quantidade"": null, ""outros_atributos"": null}",brilho labial | Pierre Pardon | sorvete | morango
Cachepot Em Cerâmica C/ Desenho De Flores Modelo 23,Cachepot Em Cerâmica C/ Desenho De Flores Modelo 23,PLANT_POTS_AND_PLANTERS,"{""idx"": 105, ""marca"": null, ""modelo"": ""23"", ""tipo_produto"": ""cachepot"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""cerâmica"", ""quantidade"": null, ""outros_atributos"": ""desenho de flores""}","{""marca"": null, ""modelo"": ""23"", ""tipo_produto"": ""cachepot"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""cerâmica"", ""quantidade"": null, ""outros_atributos"": ""desenho de flores""}",cachepot | 23 | cerâmica | desenho de flores
Porta Sabonete De Luxo ,Porta Sabonete De Luxo,SOAP_HOLDERS,"{""idx"": 106, ""marca"": null, ""modelo"": null, ""tipo_produto"": ""porta sabonete"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""de luxo""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""porta sabonete"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""de luxo""}",porta sabonete | de luxo
Cinta Postural ,Cinta Postural,LUMBAR_AND_ABDOMINAL_BRACES,"{""idx"": 107, ""marca"": null, ""modelo"": null, ""tipo_produto"": ""cinta postural"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": null}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""cinta postural"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": null}",cinta postural
Video Cassete Sharp 4 Cabeças Excelente,Video Cassete Sharp 4 Cabeças Excelente,VIDEOCASSETTE_PLAYERS,"{""idx"": 108, ""marca"": ""Sharp"", ""modelo"": null, ""tipo_produto"": ""videocassete"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""4 cabeças""}","{""marca"": ""Sharp"", ""modelo"": null, ""tipo_produto"": ""videocassete"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""4 cabeças""}",videocassete | Sharp | 4 cabeças
Tinta Para Pincel De Quadro Branco 500 Ml + De 100 Recargas,Tinta Para Pincel De Quadro Branco 500 Ml + De 100 Recargas,PENS,"{""idx"": 109, ""marca"": null, ""modelo"": null, ""tipo_produto"": ""tinta para pincel"", ""capacidade_volume"": ""500ml"", ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""para quadro branco, + de 100 recargas""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""tinta para pincel"", ""capacidade_volume"": ""500ml"", ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""para quadro branco, + de 100 recargas""}","tinta para pincel | 500ml | para quadro branco, + de 100 recargas"
Bota Alpinestars S-mx S Preto/preto,Bota Alpinestars S-mx S Preto/preto,BOOTS,"{""idx"": 110, ""marca"": ""Alpinestars"", ""modelo"": ""S-mx S"", ""tipo_produto"": ""bota"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""preto"", ""material"": null, ""quantidade"": null, ""outros_atributos"": null}","{""marca"": ""Alpinestars"", ""modelo"": ""s-mx s"", ""tipo_produto"": ""bota"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""preto"", ""material"": null, ""quantidade"": null, ""outros_atributos"": null}",bota | Alpinestars | s-mx s | preto
Lote11 Pacotes Miçangas Contas Bolas Madeira P/ Bijuteria,Lote11 Pacotes Miçangas Contas Bolas Madeira P/ Bijuteria,HABERDASHERY_BEADS,"{""idx"": 111, ""marca"": null, ""modelo"": null, ""tipo_produto"": ""miçangas"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""madeira"", ""quantidade"": ""lote 11 pacotes"", ""outros_atributos"": ""contas bolas para bijuteria""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""miçangas"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""madeira"", ""quantidade"": ""lote 11 pacotes"", ""outros_atributos"": ""contas bolas para bijuteria""}",miçangas | madeira | lote 11 pacotes | contas bolas para bijuteria
03 Unidades De Vefic Base Escudo Top Coat  11ml,03 Unidades De Vefic Base Escudo Top Coat 11ml,NAIL_POLISH,"{""idx"": 112, ""marca"": ""Vefic"", ""modelo"": ""base escudo top coat"", ""tipo_produto"": ""esmalte"", ""capacidade_volume"": ""11ml"", ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""3 unidades"", ""outros_atributos"": null}","{""marca"": ""Vefic"", ""modelo"": ""base escudo top coat"", ""tipo_produto"": ""esmalte"", ""capacidade_volume"": ""11ml"", ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""3 unidades"", ""outros_atributos"": null}",esmalte | Vefic | base escudo top coat | 11ml | 3 unidades
Capa Toalha Bodyboard Camisinha Body Board Diamond Surfing,Capa Toalha Bodyboard Camisinha Body Board Diamond Surfing,BODYBOARDS,"{""idx"": 113, ""marca"": ""Diamond Surfing"", ""modelo"": null, ""tipo_produto"": ""capa para bodyboard"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""toalha"", ""quantidade"": null, ""outros_atributos"": ""camisinha""}","{""marca"": ""Diamond Surfing"", ""modelo"": null, ""tipo_produto"": ""capa para bodyboard"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""toalha"", ""quantidade"": null, ""outros_atributos"": ""camisinha""}",capa para bodyboard | Diamond Surfing | toalha | camisinha
Bloqueador Prova D'agua Eletronico P/ Bmw Gs650 C L007,Bloqueador Prova D'agua Eletronico P/ Bmw Gs650 C L007,UPS_BATTERIES,"{""idx"": 114, ""marca"": ""Bmw"", ""modelo"": ""gs650"", ""tipo_produto"": ""bloqueador"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""prova d'agua, eletronico, c l007""}","{""marca"": ""Bmw"", ""modelo"": ""gs650"", ""tipo_produto"": ""bloqueador"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""prova d'agua, eletronico, c l007""}","bloqueador | Bmw | gs650 | prova d'agua, eletronico, c l007"
Calça Skinny Jeans Masculina Marca Importada,Calça Skinny Jeans Masculina Marca Importada,PANTS,"{""idx"": 115, ""marca"": null, ""modelo"": ""skinny"", ""tipo_produto"": ""calça"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""jeans"", ""quantidade"": null, ""outros_atributos"": ""masculina""}","{""marca"": null, ""modelo"": ""skinny"", ""tipo_produto"": ""calça"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""jeans"", ""quantidade"": null, ""outros_atributos"": ""masculina""}",calça | skinny | jeans | masculina
Cabide Redondo Giratório - Caixa Com 50 Unidades Acrílic,Cabide Redondo Giratório - Caixa Com 50 Unidades Acrílic,CLOTHES_HANGERS,"{""idx"": 116, ""marca"": null, ""modelo"": null, ""tipo_produto"": ""cabide"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""acrílico"", ""quantidade"": ""50 unidades"", ""outros_atributos"": ""redondo, giratório""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""cabide"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""acrílico"", ""quantidade"": ""50 unidades"", ""outros_atributos"": ""redondo, giratório""}","cabide | acrílico | 50 unidades | redondo, giratório"
